area_fips,medhhinc2000,ln_medhhinc2000
31007,31339,10.352618607296279
31009,25278,10.137689731207072
31011,31444,10.355963464913646
31013,39366,10.580657778572933
31015,26075,10.168732279868973
31017,28356,10.252593926974908
31019,36782,10.512763874058926
31021,33954,10.43276194637058
31023,36331,10.50042665029748
31025,46515,10.74753012020266
31027,33435,10.417358534488079
31029,32351,10.384400211352366
31031,29268,10.284250048003921
31033,33438,10.417448256797591
31035,34259,10.441704582894031
31037,35849,10.487070951635932
31039,33186,10.409883379222734
31041,30677,10.331268467127707
31043,38834,10.567051430554399
31045,29476,10.29133165188689
31047,36132,10.494934178269734
31049,32981,10.403686917060819
31051,34201,10.440010162389305
31053,37188,10.523741407575748
31055,43209,10.67380408586716
31057,27010,10.203962446786662
31059,35162,10.467721233002734
31061,29304,10.28547930445865
31063,33038,10.405413693115086
31065,30498,10.325416386674958
31067,34908,10.460471308283202
31069,26458,10.183313849022326
31071,27407,10.218553734200675
31073,36827,10.51398655078612
31075,34821,10.457975932036732
31077,28375,10.253263754783704
31079,36972,10.517916148384668
31081,40277,10.603535865409372
31083,30679,10.331333660425859
31085,26667,10.191182124909785
31087,28287,10.250157614133787
31089,30738,10.333254953167257
31091,27868,10.23523435615001
31093,33305,10.41346281484728
31095,32629,10.392956742473556
31097,32460,10.387763841068582
31099,39247,10.577630287168375
31101,32325,10.383596203640058
31103,24911,10.123064751970729
31105,30586,10.32829766690807
31107,27564,10.224265852477098
31109,41850,10.641847075917621
31111,36568,10.50692882001158
31113,33125,10.408043563288523
31115,26250,10.17542126801977
31117,25750,10.156189906091882
31119,35807,10.485898684001407
31121,34961,10.461988433479375
31123,30235,10.316755472707314
31125,31267,10.350318507250188
31127,32588,10.391699401430532
31129,28958,10.273601783341366
31131,37302,10.526802223497393
31133,29000,10.275051108968611
31135,34205,10.440127111195098
31137,37319,10.52725785931825
31139,32239,10.38093217876979
31141,39359,10.580479944339373
31143,37819,10.54056690082639
31145,32293,10.382605767457697
31147,29884,10.305078499095693
31149,25795,10.15793595367875
31151,35914,10.488882470601844
31153,53804,10.893103092828472
31155,42173,10.649535484831526
31157,32016,10.373991056823515
31159,42700,10.661954199216716
31161,29484,10.291603022309179
31163,28646,10.262769096339811
31165,29851,10.303973619097128
31167,36676,10.509877869169792
31169,30740,10.333320017092587
31171,27292,10.214348897935315
31173,28170,10.246012860870419
31175,27926,10.23731343350214
31177,48500,10.789319076925574
31179,32366,10.38486376807683
31181,30026,10.30981895197225
31183,26771,10.195074491065121
31185,37093,10.521183551548075
32001,40808,10.616633419602762
32003,44616,10.70584781806939
32005,51849,10.856090927068603
32007,48383,10.7869037913362
32009,33203,10.410395512268014
32011,41417,10.631446703548116
32013,47147,10.761025659314114
32015,46067,10.737852137511432
32017,31979,10.372834716355579
32019,40699,10.613958801104268
32021,32891,10.40095434309913
32023,36024,10.491940661981408
32027,40670,10.61324599890127
32029,45490,10.72524780056405
32031,45815,10.732366827399314
32033,36688,10.510205005097685
32510,41809,10.640866906341545
33001,43605,10.682927101661086
33003,39990,10.596384701840863
33005,42382,10.654479022780512
33007,33593,10.42207299091356
33009,41962,10.644519725816647
33011,53384,10.885266354583443
33013,48522,10.789772582323877
33015,58150,10.97078115794681
33017,44803,10.710030380446783
33019,40938,10.619814006043478
34001,43933,10.690421025100237
34003,65241,11.085843384637098
34005,58608,10.978626485018596
34007,48097,10.78097508408639
34009,41591,10.635639076689303
34011,39150,10.575155701418948
34013,44944,10.713172549344025
34015,54273,10.90178214468937
34017,40293,10.603933035577185
34019,79888,11.28838093274039
34021,56613,10.943993919797204
34023,61446,11.025914019303492
34025,64271,11.070863797603241
34027,77340,11.255966565161287
34029,46443,10.745981033208576
34031,49210,10.803852133860024
34033,45573,10.727070714875772
34035,76933,11.250690192182953
34037,65266,11.086226505853672
34039,55339,10.921233183065615
34041,56100,10.934891091510787
35001,38788,10.565866199424438
35003,23892,10.081298953852196
35005,28513,10.258115402607235
35006,27774,10.231855610259325
35007,30744,10.33345013224468
35009,28917,10.272184936452078
35011,25441,10.144117324857612
35013,29808,10.30253209284137
35015,31998,10.373428679828658
35017,29134,10.279661156008894
35019,24783,10.117913213230615
35021,26111,10.170111960461874
35023,24819,10.119364767858293
35025,29799,10.302230114883466
35027,33886,10.430757228718052
35028,78993,11.277114519928338
35029,20784,9.94193873891038
35031,25005,10.126831083853004
35033,24518,10.10716282065494
35035,30861,10.33724852979914
35037,24894,10.122382089560922
35039,29429,10.28973586171716
35041,26586,10.188140040427545
35043,44949,10.713283792711254
35045,33762,10.427091188661334
35047,26524,10.185805262488758
35049,42207,10.650341363045323
35051,24152,10.092122471386675
35053,23439,10.062156580664855
35055,26762,10.194738249864933
35057,30446,10.3237099016192
35059,28080,10.242812858139747
35061,34099,10.43702333732841
36001,42935,10.667442623106584
36003,32106,10.376798207539359
36005,27611,10.225969523029635
36007,35347,10.472968802094007
36009,33404,10.41643093227312
36011,37487,10.531749485189057
36013,33458,10.418046199891226
36015,36415,10.502736056652015
36017,33679,10.42462977670407
36019,37028,10.519429662187102
36021,41915,10.643399037071958
36023,34364,10.444764783757947
36025,32461,10.38779464774131
36027,53086,10.879668518983348
36029,38567,10.560152267518658
36031,34823,10.458033366991662
36033,31517,10.35828236177716
36035,33663,10.424154590332975
36037,40542,10.61009375278023
36039,36493,10.504875740356372
36041,32287,10.382419951415045
36043,32924,10.401957154092534
36045,34006,10.43429225861743
36047,32135,10.377701057805387
36049,34361,10.444677479283538
36051,42066,10.646995092435022
36053,40184,10.601224185429881
36055,44891,10.711992608204175
36057,32128,10.377483203051401
36059,72030,11.184837977883408
36061,47030,10.758540974939093
36063,38136,10.54891399688466
36065,35909,10.488743239436115
36067,40847,10.617588658178859
36069,44579,10.705018175104598
36071,52058,10.860113760599686
36073,37972,10.54460432500169
