"h","b_raw","se_raw","n_raw","b_sur","se_sur","n_sur","se_ratio","p_raw","p_sur","sample","counties"
3,0.539689468619967,0.166128884074951,170015,-0.893040264421393,1.36066541875309,170015,8.19042050592005,0.00115966643398865,0.511614310411067,"drop smallest 2",2501
4,0.619996669703212,0.238322648584342,167514,-0.969211744215468,1.59027096890487,167514,6.67276475127823,0.00928167251579684,0.542217411752744,"drop smallest 2",2501
5,0.604585882297854,0.290432353692985,165013,-1.04066549233955,1.8154678155416,165013,6.25091451574546,0.03737213027561,0.566494613954822,"drop smallest 2",2501
6,0.571521571647771,0.292369390382352,162512,-0.890450055902147,2.20065164129901,162512,7.52695635620768,0.0506075344225942,0.685749375617662,"drop smallest 2",2501
7,0.42849666496138,0.299166078268215,160011,-0.612831579840592,2.27162970096253,160011,7.59320613524211,0.152056939822412,0.787332450303137,"drop smallest 2",2501
8,0.306640059300987,0.322224755345359,157510,-0.748075426805283,2.22813524348957,157510,6.91484811929321,0.341282590386233,0.737066499193694,"drop smallest 2",2501
9,0.142584546675418,0.361182919038104,155009,-0.617517070566074,2.14734541666917,155009,5.94531275838833,0.693011889614399,0.773674147326877,"drop smallest 2",2501
10,0.0570065316123471,0.395273107387877,152508,-0.629234265104519,2.18557471277259,152508,5.529277534755,0.885326260763089,0.773420728249251,"drop smallest 2",2501
11,-0.11161722583754,0.440658756381475,150007,-0.813887704160167,2.17111807166786,150007,4.9269827053847,0.800039266854356,0.707756920915304,"drop smallest 2",2501
12,-0.267186631802441,0.492473353718176,147506,-0.979829579602983,2.26709375723164,147506,4.60348512282964,0.587446365966686,0.665598733555223,"drop smallest 2",2501
0,0.125213509813673,0.0728705849975002,155337,-0.514100248554418,0.386445601415156,155337,5.3031768775894,0.0857419503817611,0.183409505908423,"drop smallest 3",2188
1,0.27621194373101,0.110196343795076,153148,-0.526023952320163,0.596825742973314,153148,5.41602128000894,0.0121918009729663,0.378117909513055,"drop smallest 3",2188
2,0.448333282374957,0.165083046894156,150960,-0.743330648679506,0.941436700908283,150960,5.70280666985685,0.0066114945623454,0.429778640868528,"drop smallest 3",2188
3,0.495788777320205,0.179338513138353,148773,-0.917431406608718,1.3677518987448,148773,7.62664903823325,0.00570028409213893,0.502374298171331,"drop smallest 3",2188
4,0.569943892414433,0.250096466540725,146585,-0.87794397999605,1.57122778356891,146585,6.28248693514852,0.0226732351399027,0.576323464054093,"drop smallest 3",2188
5,0.552897536096659,0.303133474113988,144397,-1.02741926157208,1.82348249151367,144397,6.01544417634321,0.0681610102437913,0.573136692260918,"drop smallest 3",2188
6,0.494386431304065,0.306650556707598,142209,-0.812323537230296,2.21322637013905,142209,7.21742166034753,0.10691530129277,0.713595608331716,"drop smallest 3",2188
7,0.346530245375745,0.312321459727127,140021,-0.662501711244458,2.27078424628808,140021,7.27066352812274,0.267201311587047,0.770477639771145,"drop smallest 3",2188
8,0.207788180601047,0.333207031984651,137833,-0.60183914809696,2.21565400360225,137833,6.64948152626116,0.532889767581284,0.785906164981342,"drop smallest 3",2188
9,0.0471178130196256,0.367916260050109,135645,-0.440888842934556,2.14076245403301,135645,5.81861332723223,0.89809620636761,0.836830400377545,"drop smallest 3",2188
10,-0.0611737803829562,0.402557881227925,133457,-0.398439615461675,2.1680165327413,133457,5.38560200617159,0.879216359228742,0.85418549036736,"drop smallest 3",2188
11,-0.226482402587771,0.449265057914525,131269,-0.645997800829926,2.16053957742435,131269,4.80905322896355,0.614178771324773,0.764941293184956,"drop smallest 3",2188
12,-0.400831011350468,0.500376855901101,129081,-0.727064198255435,2.2493803116649,129081,4.49537240809053,0.423097921310752,0.746522072514796,"drop smallest 3",2188
